2.728200256824493408e-01,4.713419079780578613e-01,-2.788636982440948486e-01,7.909747362136840820e-01
4.032864868640899658e-01,4.267857968807220459e-01,-2.912572622299194336e-01,7.552371025085449219e-01
1.989068686962127686e-01,4.063563048839569092e-01,-3.550736606121063232e-01,8.180667757987976074e-01
3.235393762588500977e-01,4.467893242835998535e-01,-2.785368263721466064e-01,7.862053513526916504e-01
4.036474823951721191e-01,4.501423537731170654e-01,-2.872202098369598389e-01,7.429300546646118164e-01
2.603383660316467285e-01,4.010750949382781982e-01,-3.479852676391601562e-01,8.063925504684448242e-01
2.460113763809204102e-01,4.388693273067474365e-01,-3.056935966014862061e-01,8.083461523056030273e-01
4.171474575996398926e-01,4.118006825447082520e-01,-2.854312360286712646e-01,7.582461833953857422e-01
2.805498540401458740e-01,3.655948340892791748e-01,-3.629923164844512939e-01,8.098573088645935059e-01
2.049062848091125488e-01,4.625331759452819824e-01,-3.101504445075988770e-01,8.049119710922241211e-01
4.206699728965759277e-01,4.167667031288146973e-01,-3.077360689640045166e-01,7.447422146797180176e-01
2.580950558185577393e-01,3.763059675693511963e-01,-3.988433480262756348e-01,7.954274415969848633e-01
3.029713034629821777e-01,4.276064634323120117e-01,-3.070287406444549561e-01,7.944144606590270996e-01
4.347316324710845947e-01,4.233888387680053711e-01,-2.881611883640289307e-01,7.407519221305847168e-01
3.171812593936920166e-01,3.800107538700103760e-01,-3.351147472858428955e-01,8.016769289970397949e-01
2.667292058467864990e-01,5.076153278350830078e-01,-2.754679620265960693e-01,7.715566158294677734e-01
3.352572321891784668e-01,5.015209317207336426e-01,-3.110648095607757568e-01,7.343828678131103516e-01
2.003278881311416626e-01,4.195005595684051514e-01,-3.864258825778961182e-01,7.965946197509765625e-01
2.939568161964416504e-01,5.028884410858154297e-01,-2.741456329822540283e-01,7.652037739753723145e-01
3.318622112274169922e-01,5.285589694976806641e-01,-2.872267365455627441e-01,7.266317605972290039e-01
